22:56:14:270 [ALWAYS]	GUDE Logging Started
22:56:14:271 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:56:14:271 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:56:14:271 [ERROR]	Initialize resume cache pointer failure
22:56:14:272 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
22:56:14:272 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
22:56:19:383 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
22:56:19:383 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:56:19:383 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:56:19:383 [ERROR]	Initialize resume cache pointer failure
22:56:19:383 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
22:56:19:383 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
